0,count
1392,41941
4,26263
6116,21270
1264,17565
2572,11720
8596,10640
5760,5867
11044,5224
8200,3578
1452,2569
0x0000000000001c04,2560
0x00000000000023c8,2430
692,1848
3124,1812
9244,1797
0x0000000000002194,1342
680,1057
0x00000000000002a8,880
0x0000000000001a20,874
0x00000000000002b4,818
2884,814
2712,796
1776,796
0x00000000000002ac,767
3696,727
3108,525
5524,522
3960,507
0x0000000000000324,506
7172,486
0x0000000000001e88,430
0x00000000000002a0,364
7428,350
0x0000000000000000,339
4692,310
2676,206
1128,198
5428,196
9316,184
1048,145
5968,142
5820,140
7556,120
524,113
0x0000000000000318,100
0x0000000000002008,92
2796,77
3620,74
448,71
8360,68
5388,65
0x0000000000000c50,53
0x00000000000018e0,52
4948,48
10616,47
0x0000000000001cd0,47
5016,46
2684,45
348,43
8584,43
988,42
10264,41
6368,40
3404,39
10208,39
9668,39
3484,36
936,34
5192,33
1828,32
544,32
4908,32
11248,32
10420,31
0x00000000000005b0,29
4108,29
1068,29
10720,29
6476,29
4752,29
2940,28
5744,28
2904,27
3192,27
3064,26
5868,26
4376,26
5984,26
4580,26
0x0000000000001890,26
5352,25
9136,25
2240,25
2844,25
8168,25
2232,25
3044,24
0x0000000000000580,24
1144,24
3304,24
10588,24
1680,24
908,23
8676,23
8332,23
2320,23
6036,23
6844,23
568,22
3888,22
3208,22
5788,22
5332,22
7564,22
4016,22
9992,22
10612,22
9968,21
0x0000000000000724,21
6056,21
5548,21
0x0000000000000aec,21
3576,21
5048,21
4696,21
0x0000000000000768,21
1896,21
7756,21
0x0000000000001fe8,20
2868,20
7024,20
9620,20
0x0000000000001e1c,20
5920,20
3972,19
3628,19
0x00000000000015c0,19
548,19
2028,19
10900,19
3096,19
0x0000000000000ec8,19
2772,19
0x00000000000004e0,18
4368,18
7284,18
0x0000000000000c6c,18
5408,18
4088,18
3728,18
1648,18
5308,18
2144,18
5852,18
3344,17
6432,17
3984,17
9432,17
0x0000000000000674,17
5432,17
6900,17
8456,17
5712,17
5932,17
0x000000000000132c,17
4456,17
6112,17
6156,17
4532,17
8008,17
9920,17
10160,16
4756,16
2148,16
3036,16
2808,16
0x0000000000002108,16
7868,16
0x0000000000002504,16
5828,16
0x00000000000028b4,16
10488,16
7044,16
0x0000000000001418,16
4676,16
1160,16
1960,16
0x00000000000016d8,16
0x0000000000002168,16
0x0000000000002b28,16
5208,16
0x0000000000002bec,16
11048,16
7680,15
7668,15
7288,15
8964,15
6196,15
9444,15
0x000000000000244c,15
7784,15
5940,15
8264,15
6512,15
10580,15
4052,15
0x0000000000000910,15
3676,15
8572,15
9172,15
4048,15
8064,15
0x0000000000001fbc,15
3436,15
5472,15
6812,15
0x0000000000001750,15
0x0000000000002a58,15
3488,15
1812,15
8872,15
7944,15
10056,15
10068,15
4588,15
10052,15
4796,15
2188,15
3460,15
11188,15
2256,15
0x00000000000028f4,15
6012,15
7184,15
1904,15
0x000000000000153c,15
9760,15
3424,15
2032,15
2964,15
5380,15
0x0000000000001a64,15
9820,15
9320,15
11032,15
3688,14
2704,14
5132,14
5808,14
0x0000000000002464,14
2416,14
1248,14
1612,14
0x00000000000016e8,14
3308,14
0x0000000000000198,14
5864,14
0x0000000000001298,14
6048,14
0x0000000000001f1c,14
0x00000000000000d4,14
4396,14
0x0000000000001d84,14
6840,14
532,14
1044,14
2404,14
672,14
5344,14
5296,14
8336,14
0x0000000000002790,14
0x000000000000129c,13
0x00000000000013f0,13
0x0000000000000608,13
0x00000000000018bc,13
10680,13
408,13
704,13
5568,13
11236,13
5164,13
0x0000000000002380,13
0x00000000000025e0,13
0x0000000000002200,13
1672,13
8036,13
7292,13
6896,13
8668,13
0x0000000000002974,13
0x0000000000001768,13
1768,13
3636,13
0x0000000000002020,13
4984,13
1556,13
3712,13
0x000000000000203c,13
0x0000000000001e9c,13
3872,13
2016,13
0x0000000000001edc,13
0x0000000000001c44,13
1120,13
0x0000000000002aa0,12
868,12
5124,12
10480,12
4912,12
0x0000000000001c74,12
0x00000000000027d8,12
3216,12
0x00000000000029e8,12
3752,12
1340,12
0x0000000000000df4,12
0x0000000000001c68,12
0x00000000000028c4,12
5372,12
0x00000000000016e0,12
5064,12
3780,12
788,12
3624,12
3180,12
3372,12
2316,12
10936,12
10848,12
2816,12
2432,12
3500,12
2720,12
0x0000000000002b24,12
4472,12
976,12
0x00000000000003a8,12
5552,12
0x0000000000001458,12
0x0000000000001f7c,12
0x0000000000002b1c,12
0x0000000000000764,12
4760,12
1568,12
8900,12
4252,12
0x0000000000000bf8,12
0x0000000000001c10,12
9824,12
0x0000000000002af8,11
9040,11
2728,11
0x0000000000000494,11
0x000000000000298c,11
6420,11
6804,11
3932,11
0x0000000000001448,11
10008,11
0x0000000000002be4,11
10640,11
7032,11
0x0000000000000314,11
0x0000000000000238,11
0x00000000000000b8,11
8660,11
5528,11
0x0000000000001914,11
5100,11
0x00000000000026c4,11
4784,11
7804,11
8544,10
5520,10
0x0000000000000f84,10
0x00000000000015a4,10
0x0000000000000ea8,10
0x0000000000001560,10
0x00000000000013f8,10
5112,10
0x0000000000000fc0,10
0x0000000000001d9c,10
280,10
3808,10
3144,10
0x00000000000012e4,10
0x0000000000000f2c,10
0x00000000000011a0,10
0x0000000000001798,10
0x0000000000000acc,10
0x0000000000001288,10
1116,10
3948,10
3548,10
0x0000000000000df0,10
10864,10
0x0000000000001168,10
0x000000000000130c,10
0x0000000000000ab0,10
3432,10
0x0000000000002b9c,10
0x0000000000001420,10
0x0000000000000964,10
11200,10
652,10
5424,10
0x0000000000001258,10
0x00000000000014d8,10
0x00000000000014dc,10
0x0000000000001a3c,10
6088,10
5500,10
668,10
952,10
0x00000000000012a4,10
11260,10
0x0000000000000a00,10
0x000000000000155c,10
0x00000000000017fc,10
0x00000000000007d8,10
9684,10
0x0000000000000d10,10
0x00000000000003b8,9
0x0000000000000f78,9
0x0000000000000460,9
0x0000000000001678,9
0x0000000000002984,9
0x0000000000001784,9
0x0000000000001ab8,9
0x000000000000168c,9
2892,9
10384,9
9292,9
0x0000000000002484,9
0x0000000000000a4c,9
0x0000000000000b60,9
8632,9
9100,9
0x00000000000027f8,9
0x00000000000017c4,9
3032,9
944,9
0x000000000000172c,9
0x0000000000001190,9
0x0000000000002a94,9
5216,9
0x00000000000021e4,9
0x00000000000015ac,9
5336,9
0x0000000000000458,9
0x0000000000000210,9
0x0000000000002bfc,9
0x0000000000000c48,9
1588,9
8612,9
3012,9
6716,9
9880,9
0x0000000000000688,9
1028,9
640,9
6224,9
0x0000000000001a54,9
0x0000000000002994,9
0x0000000000000498,9
1152,9
0x0000000000002958,9
0x0000000000001178,9
1520,9
0x00000000000009e4,9
0x0000000000000998,9
0x0000000000000f74,9
3784,9
0x0000000000000e70,9
8444,9
0x0000000000000864,9
0x0000000000000ecc,9
9596,9
0x0000000000000dc0,9
0x0000000000001f58,9
0x000000000000243c,9
5996,9
0x0000000000000838,9
696,9
0x00000000000024d8,9
3076,9
6200,9
4216,9
5400,9
5036,9
0x00000000000013a0,9
2512,9
0x0000000000001718,9
0x00000000000028f0,9
0x0000000000002668,9
0x000000000000097c,9
6620,9
0x00000000000027e4,9
8864,9
0x0000000000000f30,9
0x0000000000000bb8,9
0x000000000000038c,9
0x0000000000001598,9
8752,9
2216,9
0x0000000000001520,9
0x0000000000002b8c,9
10232,9
9160,9
9560,9
10204,9
0x00000000000016c4,9
3964,9
2504,9
4824,9
0x0000000000002530,9
0x0000000000001794,9
0x000000000000229c,9
0x0000000000000f40,9
0x00000000000021dc,9
0x0000000000000f58,9
0x0000000000001690,9
0x0000000000000bcc,9
9476,9
4800,9
8684,8
0x00000000000006c0,8
0x000000000000065c,8
0x0000000000000d6c,8
0x00000000000016dc,8
1920,8
3396,8
0x0000000000001d6c,8
0x000000000000183c,8
0x0000000000001d8c,8
0x0000000000000b1c,8
0x00000000000015cc,8
9076,8
560,8
0x0000000000002bc0,8
3224,8
0x00000000000023e0,8
0x00000000000021b8,8
0x00000000000002e8,8
0x0000000000002100,8
1188,8
3352,8
0x0000000000000110,8
0x000000000000023c,8
0x0000000000002060,8
5672,8
0x00000000000012b0,8
5068,8
2636,8
4228,8
1956,8
0x0000000000001834,8
0x0000000000002270,8
3544,8
10788,8
0x0000000000002a60,8
5836,8
0x0000000000002718,8
0x0000000000001480,8
10928,8
11212,8
0x0000000000001290,8
2708,8
7160,8
0x00000000000013e8,8
0x0000000000000c20,8
9416,8
10564,8
0x000000000000208c,8
