ProcessID,count,NewProcessName,ProcessName,Application
1392,41941,,,\device\harddiskvolume3\windows\system32\svchost.exe
4,26263,,,System
6116,21270,,,\device\harddiskvolume3\program files (x86)\amiya\amepagt\amepagt.exe
1264,17565,,,\device\harddiskvolume3\windows\system32\svchost.exe
2572,11720,,,\device\harddiskvolume3\program files (x86)\amiya\amepagt\amepagt.exe
8596,10640,,,\device\harddiskvolume3\program files (x86)\microsoft\edge\application\msedge.exe
5760,5867,,,\device\harddiskvolume3\windows\system32\svchost.exe
11044,5224,,,\device\harddiskvolume3\program files (x86)\microsoft\edge\application\msedge.exe
8200,3578,,,\device\harddiskvolume3\program files (x86)\microsoft\edge\application\msedge.exe
1452,2569,,,
0x0000000000001c04,2560,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x00000000000023c8,2430,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
692,1848,,,\device\harddiskvolume3\windows\system32\lsass.exe
3124,1812,,,\device\harddiskvolume3\windows\system32\svchost.exe
9244,1797,,,\device\harddiskvolume3\windows\system32\mousocoreworker.exe
0x0000000000002194,1342,C:\Windows\System32\RuntimeBroker.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
680,1057,,,\device\harddiskvolume3\windows\system32\lsass.exe
0x00000000000002a8,880,C:\Windows\System32\lsass.exe,C:\Windows\System32\lsass.exe,
0x0000000000001a20,874,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Windows\System32\poqexec.exe,
0x00000000000002b4,818,C:\Windows\System32\svchost.exe,C:\Windows\System32\lsass.exe,
2884,814,,,\device\harddiskvolume3\windows\system32\svchost.exe
2712,796,,,\device\harddiskvolume3\windows\system32\svchost.exe
1776,796,,,
0x00000000000002ac,767,,Advapi,
3696,727,,,\device\harddiskvolume3\xampp\apache\bin\httpd.exe
3108,525,,,\device\harddiskvolume3\windows\system32\svchost.exe
5524,522,,,\device\harddiskvolume3\windows\system32\svchost.exe
3960,507,,,\device\harddiskvolume3\windows\system32\taskhostw.exe
0x0000000000000324,506,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,C:\Windows\System32\svchost.exe,
7172,486,,,\device\harddiskvolume3\program files (x86)\microsoft\edge\application\msedge.exe
0x0000000000001e88,430,C:\Windows\System32\svchost.exe,C:\Windows\System32\taskhostw.exe,
0x00000000000002a0,364,C:\Windows\System32\services.exe,Advapi,
7428,350,,,\device\harddiskvolume3\windows\system32\svchost.exe
0x0000000000000000,339,,Kerberos,
4692,310,,,\device\harddiskvolume3\windows\system32\mousocoreworker.exe
2676,206,,,\device\harddiskvolume3\windows\system32\svchost.exe
1128,198,,,\device\harddiskvolume3\windows\system32\svchost.exe
5428,196,,,\device\harddiskvolume3\windows\system32\svchost.exe
